transmission	recovery	population_size	d
1.648950	1.000000	17671.000000	0.848563
1.025079	1.000000	12012.000000	1.533687
1.628226	1.000000	16060.000000	0.891646
1.984102	1.000000	15890.000000	1.485185
1.651695	1.000000	16464.000000	0.330102
2.215043	1.000000	16139.000000	0.956153
2.408920	1.000000	14378.000000	0.357179
1.243748	1.000000	15874.000000	0.178852
1.689496	1.000000	14132.000000	1.880138
1.573252	1.000000	15304.000000	0.077354
1.196745	1.000000	13360.000000	4.106083
1.393270	1.000000	13370.000000	0.525719
1.645773	1.000000	16221.000000	3.185750
1.590955	1.000000	14211.000000	0.696604
1.506699	1.000000	12653.000000	6.483867
1.737726	1.000000	16387.000000	4.036501
2.072338	1.000000	14799.000000	3.470025
3.121724	1.000000	14837.000000	0.654482
1.584293	1.000000	17352.000000	0.346317
1.171055	1.000000	16448.000000	0.520159
1.201533	1.000000	11744.000000	0.342274
1.563572	1.000000	15864.000000	0.415483
1.466280	1.000000	13689.000000	0.207966
1.643077	1.000000	17653.000000	0.804536
1.337816	1.000000	13435.000000	0.166305
1.846215	1.000000	14115.000000	0.489994
1.698037	1.000000	15072.000000	3.237060
1.995849	1.000000	14051.000000	1.651559
1.900247	1.000000	14456.000000	11.556649
1.506585	1.000000	14179.000000	2.295697
2.001875	1.000000	19901.000000	1.253862
1.920071	1.000000	15598.000000	2.013756
1.607256	1.000000	16269.000000	1.367960
1.329385	1.000000	14658.000000	0.958446
1.524410	1.000000	13777.000000	0.449074
1.384291	1.000000	13790.000000	0.914572
1.530974	1.000000	11699.000000	3.237240
1.782046	1.000000	19311.000000	2.289658
1.619867	1.000000	17335.000000	0.386571
1.324099	1.000000	15265.000000	2.800391
1.321252	1.000000	17602.000000	1.331102
1.451284	1.000000	16397.000000	0.190516
1.668293	1.000000	15728.000000	3.642206
2.164809	1.000000	20497.000000	0.115735
2.614604	1.000000	15883.000000	0.378870
1.308294	1.000000	14876.000000	0.683641
1.471125	1.000000	13505.000000	0.333734
1.385683	1.000000	16075.000000	0.819037
1.341950	1.000000	14957.000000	6.165866
1.622354	1.000000	14242.000000	0.102829
1.983935	1.000000	14579.000000	0.208710
1.196063	1.000000	17568.000000	0.877026
1.253685	1.000000	17842.000000	2.855201
1.410513	1.000000	12269.000000	1.400625
1.700544	1.000000	17532.000000	0.531992
2.151768	1.000000	14751.000000	1.331603
1.297213	1.000000	14288.000000	0.743457
1.236780	1.000000	16046.000000	2.697850
1.079705	1.000000	14327.000000	1.299322
1.098059	1.000000	14066.000000	0.217065
1.779604	1.000000	14552.000000	0.876321
1.152352	1.000000	15509.000000	3.672568
1.489254	1.000000	18382.000000	2.043821
1.370774	1.000000	14554.000000	2.713425
1.412437	1.000000	12204.000000	0.484067
2.295122	1.000000	13180.000000	0.891874
1.933172	1.000000	13208.000000	0.264350
1.825571	1.000000	12342.000000	2.799613
1.584169	1.000000	15895.000000	0.532362
1.307295	1.000000	16020.000000	0.430581
1.681820	1.000000	18194.000000	4.561422
1.122950	1.000000	17340.000000	2.398104
2.615915	1.000000	16350.000000	0.853696
2.021120	1.000000	13418.000000	1.219955
1.830572	1.000000	15172.000000	0.911268
1.164553	1.000000	16149.000000	3.263083
1.580390	1.000000	17995.000000	0.572380
1.149093	1.000000	15087.000000	1.189225
1.051792	1.000000	13184.000000	0.692052
1.699521	1.000000	13073.000000	1.410641
1.544058	1.000000	17414.000000	1.021911
1.970520	1.000000	15771.000000	1.344314
1.342999	1.000000	14012.000000	0.666335
1.104025	1.000000	14244.000000	2.809910
2.049633	1.000000	16297.000000	0.203914
1.538447	1.000000	15852.000000	1.007712
1.344415	1.000000	13031.000000	0.653985
1.661502	1.000000	14438.000000	0.530100
2.189151	1.000000	17990.000000	1.973159
1.667470	1.000000	15574.000000	3.795960
1.607678	1.000000	16038.000000	1.114614
1.337268	1.000000	13821.000000	0.618671
1.461503	1.000000	14310.000000	2.259033
1.156799	1.000000	12755.000000	0.826168
1.077388	1.000000	15744.000000	0.566428
1.095092	1.000000	13015.000000	0.150943
1.647239	1.000000	11291.000000	0.180889
2.584709	1.000000	12600.000000	0.132049
1.665496	1.000000	15176.000000	1.370718
1.326984	1.000000	15373.000000	0.134266
1.129619	1.000000	14126.000000	1.145155
1.125085	1.000000	16190.000000	0.243927
1.243908	1.000000	13400.000000	0.333048
1.491074	1.000000	15462.000000	0.730112
1.724094	1.000000	13266.000000	0.462581
1.490595	1.000000	18251.000000	0.340056
2.530312	1.000000	12887.000000	0.695689
1.600336	1.000000	15051.000000	6.410739
1.438183	1.000000	17151.000000	1.773707
1.418306	1.000000	16370.000000	0.413253
1.621734	1.000000	13868.000000	0.298766
1.636184	1.000000	13150.000000	0.612555
2.389386	1.000000	18005.000000	1.677778
1.115671	1.000000	15112.000000	8.392640
1.085317	1.000000	15270.000000	0.608319
1.643858	1.000000	14723.000000	1.379244
1.243563	1.000000	14194.000000	1.742499
1.879960	1.000000	17492.000000	3.012360
1.667422	1.000000	14006.000000	1.646342
1.320746	1.000000	15182.000000	0.354384
1.313132	1.000000	17154.000000	1.286008
1.751250	1.000000	12959.000000	0.917797
2.195229	1.000000	16311.000000	3.124572
1.968361	1.000000	13645.000000	3.346108
1.543623	1.000000	15151.000000	0.136349
1.165781	1.000000	16788.000000	0.481061
2.038249	1.000000	16434.000000	0.462075
1.680154	1.000000	14760.000000	0.330825
2.102731	1.000000	14461.000000	0.747846
1.308073	1.000000	15848.000000	3.129702
1.840654	1.000000	13865.000000	2.709133
2.536608	1.000000	14981.000000	1.225835
1.587398	1.000000	14877.000000	3.145080
1.267809	1.000000	15120.000000	0.263339
1.362195	1.000000	13422.000000	0.372637
1.583729	1.000000	13528.000000	0.304846
1.781742	1.000000	14842.000000	0.580505
1.603293	1.000000	13061.000000	14.080771
1.331310	1.000000	15891.000000	2.007605
2.049006	1.000000	14456.000000	0.219808
1.122692	1.000000	15982.000000	2.996000
1.506258	1.000000	18216.000000	0.383252
1.252951	1.000000	13112.000000	2.020737
1.471600	1.000000	14982.000000	0.452689
1.451124	1.000000	12859.000000	0.490779
1.760361	1.000000	21357.000000	0.528482
1.777617	1.000000	13561.000000	3.311776
1.972102	1.000000	18614.000000	0.865416
1.485245	1.000000	17562.000000	0.101466
1.745694	1.000000	14372.000000	0.415051
2.159648	1.000000	16806.000000	2.572320
1.065860	1.000000	14804.000000	1.158184
1.185404	1.000000	16262.000000	2.011100
1.405894	1.000000	16647.000000	0.864279
1.891862	1.000000	12494.000000	0.951375
1.240800	1.000000	13621.000000	0.055748
1.437655	1.000000	13721.000000	4.132669
1.952617	1.000000	16560.000000	0.650533
1.620227	1.000000	15899.000000	2.294224
1.591753	1.000000	14880.000000	0.239311
1.098958	1.000000	11776.000000	2.585718
1.369197	1.000000	15125.000000	7.695617
2.063859	1.000000	16760.000000	0.239800
1.033497	1.000000	19025.000000	4.112103
1.069437	1.000000	16177.000000	0.061329
1.503611	1.000000	15160.000000	0.361141
1.068261	1.000000	16133.000000	0.485446
1.501296	1.000000	17014.000000	0.993071
1.191792	1.000000	12798.000000	0.348744
1.705809	1.000000	15258.000000	2.219767
1.444919	1.000000	14175.000000	4.047721
1.577938	1.000000	16348.000000	3.804403
1.768442	1.000000	16322.000000	8.242129
1.619965	1.000000	19715.000000	1.162129
1.282314	1.000000	16738.000000	2.237286
1.433301	1.000000	15723.000000	1.249449
1.795816	1.000000	13127.000000	1.724057
1.217713	1.000000	13492.000000	1.239936
1.154164	1.000000	16619.000000	0.595403
1.502733	1.000000	18952.000000	0.748379
2.085473	1.000000	15944.000000	0.464682
1.413602	1.000000	16292.000000	3.202481
1.833649	1.000000	16807.000000	2.756601
1.845978	1.000000	15463.000000	0.431288
1.378848	1.000000	13802.000000	2.652140
1.557234	1.000000	14218.000000	0.156513
2.382853	1.000000	17673.000000	1.108248
1.441524	1.000000	19618.000000	9.531735
1.829069	1.000000	13708.000000	4.214780
1.069791	1.000000	12437.000000	0.346275
1.175151	1.000000	13086.000000	1.024635
1.264481	1.000000	19381.000000	1.160440
1.219071	1.000000	13939.000000	1.598188
1.496790	1.000000	12307.000000	0.307191
1.505054	1.000000	15566.000000	0.850257
1.608967	1.000000	13505.000000	0.341011
1.244280	1.000000	15595.000000	0.920175
1.150423	1.000000	20122.000000	0.304167
1.952002	1.000000	14818.000000	0.505609
1.162989	1.000000	16453.000000	2.186631
1.313444	1.000000	14223.000000	0.291601
1.357217	1.000000	14276.000000	0.671392
1.679162	1.000000	13468.000000	0.884223
2.560343	1.000000	14441.000000	0.777402
1.324961	1.000000	13038.000000	0.789478
1.465075	1.000000	12976.000000	0.595523
2.038123	1.000000	13159.000000	0.327779
1.015233	1.000000	14360.000000	0.673127
1.308843	1.000000	15295.000000	1.010144
1.667274	1.000000	21151.000000	0.589585
1.232804	1.000000	14739.000000	2.170134
1.995588	1.000000	18499.000000	1.254100
1.357853	1.000000	13349.000000	2.932414
2.194237	1.000000	13211.000000	0.608117
1.490593	1.000000	13557.000000	1.741662
2.076343	1.000000	14932.000000	2.802474
1.114545	1.000000	14295.000000	0.836339
1.710892	1.000000	15959.000000	0.619311
1.662948	1.000000	14600.000000	0.427366
1.364060	1.000000	16287.000000	1.547163
1.463701	1.000000	15442.000000	0.411958
2.366294	1.000000	17031.000000	0.835737
1.890243	1.000000	17503.000000	1.679459
1.370738	1.000000	15672.000000	2.267553
1.740801	1.000000	13265.000000	0.123149
1.308273	1.000000	18491.000000	4.230203
1.323185	1.000000	15099.000000	0.792497
1.694045	1.000000	13253.000000	0.180711
2.434296	1.000000	16117.000000	0.683877
1.947946	1.000000	12124.000000	1.432657
1.962245	1.000000	14700.000000	0.385388
1.122601	1.000000	15540.000000	0.717064
1.531234	1.000000	18948.000000	0.966003
1.596802	1.000000	12661.000000	0.352639
3.145047	1.000000	14789.000000	3.259450
1.599005	1.000000	13350.000000	0.902320
1.234996	1.000000	17060.000000	1.032578
1.571848	1.000000	14834.000000	4.850756
1.506311	1.000000	14360.000000	0.908786
1.094010	1.000000	14325.000000	0.312159
1.759010	1.000000	17254.000000	0.148592
1.216250	1.000000	13045.000000	1.524332
1.063799	1.000000	18192.000000	0.155417
1.106371	1.000000	15569.000000	0.384916
1.849222	1.000000	13813.000000	0.902683
2.345411	1.000000	12279.000000	0.279169
1.334636	1.000000	15712.000000	0.251848
1.348428	1.000000	16854.000000	0.197971
1.704699	1.000000	21165.000000	1.370608
1.907332	1.000000	16289.000000	0.354534
1.190302	1.000000	14882.000000	0.232249
1.352922	1.000000	16692.000000	1.684730
2.153859	1.000000	17663.000000	0.211097
1.527158	1.000000	15136.000000	2.199072
1.852268	1.000000	15234.000000	1.381299
1.192138	1.000000	16015.000000	3.682055
1.066976	1.000000	18206.000000	0.459367
1.938295	1.000000	15368.000000	0.639124
1.364570	1.000000	12729.000000	0.231042
1.900692	1.000000	15480.000000	0.163555
1.472119	1.000000	16314.000000	1.648401
1.230476	1.000000	12676.000000	0.687085
1.541233	1.000000	17416.000000	0.433414
1.619878	1.000000	16568.000000	0.360685
1.666439	1.000000	14527.000000	0.103372
1.415990	1.000000	14644.000000	2.404609
1.582226	1.000000	17137.000000	0.949249
1.749225	1.000000	17820.000000	2.222258
1.214907	1.000000	12941.000000	0.940361
1.203612	1.000000	17305.000000	0.122591
1.911496	1.000000	13337.000000	6.324502
1.176398	1.000000	16327.000000	0.389521
1.356949	1.000000	17819.000000	0.499772
1.796522	1.000000	18014.000000	0.444292
1.295937	1.000000	18126.000000	0.993125
1.112156	1.000000	14640.000000	1.126417
1.915867	1.000000	15429.000000	0.280287
1.293952	1.000000	18333.000000	1.768020
1.880632	1.000000	11981.000000	4.192433
1.545259	1.000000	13315.000000	0.487085
1.444699	1.000000	17783.000000	0.725376
1.425761	1.000000	13984.000000	1.286214
1.476774	1.000000	14486.000000	2.138674
1.770361	1.000000	13806.000000	0.463920
1.483522	1.000000	15147.000000	5.305278
1.373201	1.000000	13991.000000	0.818335
1.832199	1.000000	13364.000000	2.458314
1.314958	1.000000	14122.000000	0.133488
1.543922	1.000000	12872.000000	0.273960
1.685424	1.000000	13946.000000	2.916794
1.031910	1.000000	16044.000000	6.916058
1.278347	1.000000	12845.000000	1.034395
1.266395	1.000000	17582.000000	4.634299
1.856542	1.000000	12944.000000	0.436341
1.845405	1.000000	15890.000000	0.159230
2.176379	1.000000	12969.000000	0.472112
1.899966	1.000000	15807.000000	2.823369
1.147698	1.000000	15318.000000	1.447479
1.232638	1.000000	17616.000000	0.991397
1.418113	1.000000	17580.000000	1.179162
1.139603	1.000000	15169.000000	3.014282
1.197148	1.000000	14856.000000	2.255096
1.348641	1.000000	14741.000000	3.984937
1.652059	1.000000	15908.000000	2.773955
1.235141	1.000000	13023.000000	0.334933
1.679580	1.000000	16352.000000	0.864676
1.317990	1.000000	13485.000000	1.585252
1.283863	1.000000	18459.000000	1.098155
1.348498	1.000000	14311.000000	1.518374
1.203785	1.000000	14371.000000	1.465771
1.068327	1.000000	13690.000000	2.358574
2.102352	1.000000	10942.000000	0.734732
1.451155	1.000000	13165.000000	0.670270
2.382485	1.000000	14216.000000	2.399243
1.551116	1.000000	13335.000000	0.483905
1.374902	1.000000	13662.000000	0.632894
1.165194	1.000000	16569.000000	0.456176
2.364531	1.000000	19359.000000	1.716333
1.025077	1.000000	14610.000000	0.951347
1.250184	1.000000	18913.000000	1.255063
1.241679	1.000000	15576.000000	0.156861
1.035423	1.000000	18627.000000	0.205488
1.420817	1.000000	13797.000000	2.203891
1.480023	1.000000	19155.000000	1.146182
1.475317	1.000000	13570.000000	0.096314
1.595482	1.000000	15935.000000	0.671151
1.258005	1.000000	14020.000000	0.155011
1.719329	1.000000	13279.000000	1.065080
1.190786	1.000000	12835.000000	0.317689
1.356628	1.000000	13581.000000	0.876819
1.256356	1.000000	14805.000000	0.280872
1.189109	1.000000	16572.000000	1.434379
1.810934	1.000000	13551.000000	9.427669
1.180370	1.000000	14910.000000	0.252522
1.621050	1.000000	20746.000000	0.751465
1.586415	1.000000	13341.000000	5.863790
1.456105	1.000000	16372.000000	0.439428
1.387816	1.000000	16588.000000	0.433660
1.210894	1.000000	17427.000000	4.071509
1.075799	1.000000	14520.000000	1.440463
1.525710	1.000000	13821.000000	2.112416
1.331688	1.000000	13542.000000	1.933547
1.338455	1.000000	18345.000000	1.000531
1.903721	1.000000	14026.000000	0.119529
1.469681	1.000000	17930.000000	1.449510
1.310404	1.000000	16483.000000	0.272104
1.491342	1.000000	16857.000000	0.420145
1.374835	1.000000	16900.000000	0.331480
1.786738	1.000000	12383.000000	0.407674
1.572164	1.000000	13219.000000	0.854242
1.436870	1.000000	20146.000000	2.271641
1.650090	1.000000	13835.000000	0.904758
1.733826	1.000000	16407.000000	1.695736
2.011761	1.000000	20033.000000	2.774698
1.277375	1.000000	16942.000000	0.594639
1.715472	1.000000	16589.000000	0.598660
1.480913	1.000000	12733.000000	0.552015
1.910400	1.000000	16867.000000	0.411033
1.686936	1.000000	16026.000000	1.652309
1.973921	1.000000	15050.000000	0.754112
1.209651	1.000000	12751.000000	1.017479
1.706648	1.000000	16876.000000	3.652714
2.134205	1.000000	13143.000000	0.974948
1.304726	1.000000	13625.000000	0.574101
1.246616	1.000000	16482.000000	0.612347
1.806960	1.000000	18781.000000	1.013150
1.048135	1.000000	13047.000000	0.600592
1.966698	1.000000	12461.000000	0.754797
1.230769	1.000000	16370.000000	0.101815
1.364831	1.000000	15753.000000	0.516163
1.678575	1.000000	14355.000000	8.127988
1.670522	1.000000	14732.000000	1.296382
1.988121	1.000000	15448.000000	1.593493
1.131001	1.000000	11750.000000	0.979081
1.206833	1.000000	14552.000000	1.540116
1.501540	1.000000	14401.000000	0.521814
1.451943	1.000000	16040.000000	0.112398
1.142756	1.000000	14291.000000	0.487279
1.436603	1.000000	13302.000000	0.345738
1.594578	1.000000	15313.000000	1.124973
1.636499	1.000000	19122.000000	1.242239
1.318569	1.000000	16147.000000	3.214386
1.411841	1.000000	13469.000000	2.076125
1.502432	1.000000	17299.000000	1.323652
1.226757	1.000000	14128.000000	0.381869
1.505876	1.000000	15037.000000	1.905828
2.009767	1.000000	13908.000000	7.202487
1.453183	1.000000	15510.000000	2.241579
1.856221	1.000000	11813.000000	1.199828
1.362851	1.000000	17808.000000	2.641879
1.138435	1.000000	12665.000000	1.805645
1.508728	1.000000	17609.000000	2.858958
1.445259	1.000000	18984.000000	0.391501
1.323059	1.000000	16191.000000	0.193918
1.411110	1.000000	12423.000000	2.105003
2.252977	1.000000	17773.000000	0.769519
1.837328	1.000000	13731.000000	0.264281
1.704832	1.000000	14926.000000	0.274368
1.485281	1.000000	16709.000000	0.659240
1.015126	1.000000	13538.000000	1.103091
1.296992	1.000000	11713.000000	0.739374
1.431860	1.000000	13904.000000	0.954752
1.527588	1.000000	18027.000000	0.919518
2.608416	1.000000	13257.000000	1.190601
2.081046	1.000000	16139.000000	1.101119
1.757267	1.000000	15921.000000	3.142228
