transmission	recovery	sampling	population_size	k
1.986947	1.000000	0.009923	14067.000000	0.844940
3.330342	1.000000	0.008014	12524.000000	1.879816
2.821536	1.000000	0.011457	16339.000000	1.949956
1.953354	1.000000	0.009102	12848.000000	0.047921
2.476725	1.000000	0.009826	13732.000000	0.256974
2.396926	1.000000	0.006209	13088.000000	0.551628
3.717151	1.000000	0.008934	11891.000000	0.786166
2.977867	1.000000	0.013236	17001.000000	1.227865
2.852677	1.000000	0.008555	14293.000000	5.004033
3.437674	1.000000	0.013872	15043.000000	0.740809
3.247248	1.000000	0.011994	13698.000000	1.993228
2.893598	1.000000	0.009322	12635.000000	0.436507
3.757992	1.000000	0.008943	11664.000000	2.321655
3.998904	1.000000	0.010827	12821.000000	0.401984
3.117640	1.000000	0.014888	13804.000000	1.057930
3.224807	1.000000	0.008446	13341.000000	2.828593
2.138501	1.000000	0.009259	14332.000000	0.565783
3.792287	1.000000	0.006818	14521.000000	1.049940
1.969578	1.000000	0.007542	12629.000000	1.371177
2.189467	1.000000	0.012208	14135.000000	2.875845
3.320651	1.000000	0.006540	14258.000000	2.253820
3.339533	1.000000	0.008964	15591.000000	0.430193
2.048987	1.000000	0.007475	12059.000000	2.220817
3.193247	1.000000	0.014376	13962.000000	0.307424
3.725694	1.000000	0.008003	13761.000000	0.463727
3.624729	1.000000	0.009763	13190.000000	0.465715
3.083420	1.000000	0.011396	15235.000000	0.376074
3.282348	1.000000	0.008840	14194.000000	0.131769
2.140620	1.000000	0.010182	12508.000000	0.433640
2.668194	1.000000	0.010373	12876.000000	2.752128
2.409041	1.000000	0.008005	12708.000000	0.245584
2.434420	1.000000	0.009621	13447.000000	0.449851
3.449518	1.000000	0.011888	12245.000000	1.114651
3.600039	1.000000	0.011098	14625.000000	1.666021
4.979094	1.000000	0.009857	10943.000000	1.796543
2.889404	1.000000	0.014180	12472.000000	0.525715
4.406025	1.000000	0.007732	13035.000000	1.234040
2.894151	1.000000	0.009723	12740.000000	1.256786
2.399052	1.000000	0.014100	12647.000000	1.293720
2.432503	1.000000	0.008352	13015.000000	0.212276
2.851068	1.000000	0.006340	12016.000000	0.676366
2.702534	1.000000	0.011357	14018.000000	1.041727
2.861699	1.000000	0.010625	16157.000000	0.437908
4.355310	1.000000	0.011760	15146.000000	1.169102
3.763557	1.000000	0.008782	12315.000000	1.180607
2.869103	1.000000	0.010106	15163.000000	5.183614
2.714269	1.000000	0.009669	11939.000000	0.130927
2.516593	1.000000	0.007395	12771.000000	2.102154
2.847989	1.000000	0.008047	14019.000000	0.300288
2.677031	1.000000	0.009656	15764.000000	0.422746
2.605885	1.000000	0.006560	13840.000000	2.235779
1.984318	1.000000	0.008684	11735.000000	1.735315
2.533879	1.000000	0.010121	13708.000000	0.282661
4.646858	1.000000	0.008243	16752.000000	0.802502
3.744995	1.000000	0.015833	12766.000000	0.565546
2.307382	1.000000	0.007959	14691.000000	0.256256
3.588258	1.000000	0.015582	15312.000000	0.830647
2.013797	1.000000	0.011701	14540.000000	0.393782
2.569828	1.000000	0.008229	13345.000000	1.635933
2.662767	1.000000	0.008879	16780.000000	0.080814
4.374691	1.000000	0.009134	13705.000000	3.809771
3.784641	1.000000	0.008483	14031.000000	0.394969
2.899259	1.000000	0.008692	13226.000000	0.332455
2.275374	1.000000	0.009688	12493.000000	0.897988
2.281390	1.000000	0.007126	12355.000000	2.961621
4.704071	1.000000	0.011723	13586.000000	1.935843
2.879452	1.000000	0.007486	11964.000000	0.391086
2.971794	1.000000	0.009375	13989.000000	2.818380
4.224591	1.000000	0.014850	14883.000000	3.503724
2.558056	1.000000	0.006912	12815.000000	2.991953
3.951661	1.000000	0.011883	12580.000000	0.189953
2.341966	1.000000	0.010645	11369.000000	4.637307
2.944610	1.000000	0.015326	15894.000000	1.991116
2.200528	1.000000	0.009308	13719.000000	3.382403
2.917964	1.000000	0.009156	14713.000000	0.594072
3.735936	1.000000	0.009158	12695.000000	0.689173
2.185528	1.000000	0.004872	14170.000000	1.826248
4.476194	1.000000	0.007402	14216.000000	1.127139
2.251161	1.000000	0.007639	12908.000000	0.540842
2.276217	1.000000	0.010024	12598.000000	0.853087
2.342224	1.000000	0.007584	13191.000000	0.198048
3.114316	1.000000	0.012278	13639.000000	2.157452
4.048736	1.000000	0.010086	13826.000000	0.516813
3.469446	1.000000	0.011913	9890.000000	2.673820
2.964512	1.000000	0.015789	14249.000000	0.978309
2.264225	1.000000	0.008468	14186.000000	0.288396
2.725282	1.000000	0.005968	14191.000000	0.557400
1.702211	1.000000	0.006240	13856.000000	1.870601
3.593417	1.000000	0.009989	12556.000000	0.302548
3.616350	1.000000	0.010645	12625.000000	0.607602
3.100914	1.000000	0.007582	14654.000000	0.433276
3.141525	1.000000	0.010968	14165.000000	0.821718
2.612955	1.000000	0.007584	12641.000000	0.512139
1.692018	1.000000	0.007955	13963.000000	0.991905
3.014672	1.000000	0.007977	13740.000000	1.928977
3.023477	1.000000	0.011097	11479.000000	0.195183
3.107544	1.000000	0.008837	12640.000000	0.163971
4.147388	1.000000	0.012728	14677.000000	0.551467
2.118000	1.000000	0.013222	14005.000000	0.725082
3.578922	1.000000	0.012821	13401.000000	7.485144
2.225437	1.000000	0.008682	14491.000000	1.694576
4.406521	1.000000	0.007255	14611.000000	1.046991
3.121875	1.000000	0.010889	15187.000000	1.241893
4.863862	1.000000	0.009252	12804.000000	1.157231
3.307979	1.000000	0.008323	12615.000000	0.789092
3.298612	1.000000	0.016316	13130.000000	1.335834
3.889735	1.000000	0.009443	13637.000000	0.839917
2.931987	1.000000	0.008477	15490.000000	2.821963
2.231392	1.000000	0.009488	13943.000000	0.418130
2.717134	1.000000	0.011620	13796.000000	2.702153
3.290994	1.000000	0.011052	17665.000000	0.320014
3.437080	1.000000	0.008278	12262.000000	3.533112
3.880206	1.000000	0.011308	14178.000000	0.358674
2.239278	1.000000	0.014990	13097.000000	0.626606
3.726785	1.000000	0.004867	12761.000000	1.373254
2.394950	1.000000	0.008642	14739.000000	0.642419
2.541960	1.000000	0.011809	11972.000000	2.181109
3.370426	1.000000	0.010831	11117.000000	0.874374
2.517352	1.000000	0.008746	12016.000000	1.138113
3.156811	1.000000	0.007679	15461.000000	1.950014
1.683388	1.000000	0.008409	14934.000000	6.848129
1.834466	1.000000	0.008816	13494.000000	0.321864
3.893414	1.000000	0.011372	13499.000000	0.277630
2.740845	1.000000	0.008968	15191.000000	1.926449
2.584095	1.000000	0.010874	13999.000000	1.696868
3.323724	1.000000	0.019349	12381.000000	3.143419
4.304691	1.000000	0.008485	13881.000000	2.831779
2.860876	1.000000	0.003853	13231.000000	0.506294
3.362904	1.000000	0.009205	14881.000000	0.644284
3.659072	1.000000	0.008587	13460.000000	2.066453
3.652983	1.000000	0.014433	15449.000000	0.411985
1.822969	1.000000	0.007439	12435.000000	0.154217
3.723308	1.000000	0.008858	15603.000000	2.210137
2.990562	1.000000	0.015275	12510.000000	0.505433
2.787530	1.000000	0.014598	13850.000000	0.165649
3.642483	1.000000	0.011216	12342.000000	0.911847
4.412538	1.000000	0.008172	14465.000000	1.597539
3.318298	1.000000	0.005557	13098.000000	1.756692
3.985534	1.000000	0.007308	12467.000000	0.635289
2.736962	1.000000	0.010715	15440.000000	0.716264
2.405685	1.000000	0.009338	12270.000000	4.161914
3.682747	1.000000	0.008683	12119.000000	0.272769
3.383914	1.000000	0.006054	11111.000000	1.558012
2.377740	1.000000	0.014033	13552.000000	1.083819
3.440425	1.000000	0.011738	13744.000000	0.864520
3.389502	1.000000	0.009790	15074.000000	0.517817
3.712601	1.000000	0.016652	13739.000000	1.459347
2.732878	1.000000	0.008090	13844.000000	6.746531
3.151291	1.000000	0.010436	12102.000000	0.466883
2.240692	1.000000	0.012664	12721.000000	2.980204
2.822746	1.000000	0.010209	11205.000000	0.476289
4.179762	1.000000	0.010638	15271.000000	0.501579
3.166921	1.000000	0.008230	13968.000000	3.460045
3.401389	1.000000	0.008856	16279.000000	1.569741
2.137518	1.000000	0.009072	15995.000000	0.102631
3.248381	1.000000	0.009343	14736.000000	1.031157
2.788657	1.000000	0.009253	11860.000000	2.828607
2.274647	1.000000	0.012045	13098.000000	1.772483
4.704222	1.000000	0.011280	14879.000000	1.779313
2.620826	1.000000	0.010869	11888.000000	0.760807
3.290484	1.000000	0.012827	12622.000000	0.825439
4.087747	1.000000	0.010622	14360.000000	1.169345
3.729506	1.000000	0.010866	11899.000000	3.529532
2.984492	1.000000	0.012456	12982.000000	0.573651
3.231134	1.000000	0.008343	13136.000000	1.355921
1.950451	1.000000	0.018750	14275.000000	1.660260
3.202065	1.000000	0.008810	14209.000000	1.493922
3.069841	1.000000	0.009584	13356.000000	1.205703
2.432239	1.000000	0.010123	10975.000000	0.355022
4.282770	1.000000	0.010441	11961.000000	0.520481
3.961402	1.000000	0.011442	11847.000000	1.332297
3.892384	1.000000	0.009120	12449.000000	0.646559
4.203967	1.000000	0.008775	13715.000000	0.206407
3.602894	1.000000	0.009384	13255.000000	0.440056
3.911395	1.000000	0.007987	12736.000000	14.055835
2.332006	1.000000	0.013269	13709.000000	2.008630
3.727241	1.000000	0.010608	14102.000000	1.055013
3.522959	1.000000	0.011319	14956.000000	0.992470
2.520320	1.000000	0.012266	13040.000000	0.203193
3.028291	1.000000	0.009407	10390.000000	0.783523
2.850224	1.000000	0.009613	13363.000000	0.405227
3.625241	1.000000	0.005964	15436.000000	0.145354
3.402686	1.000000	0.008094	11747.000000	2.339218
3.071898	1.000000	0.008594	14146.000000	1.012637
4.439529	1.000000	0.010017	14902.000000	1.651074
1.450414	1.000000	0.010850	11226.000000	1.580093
3.944878	1.000000	0.010549	13201.000000	0.549497
3.073169	1.000000	0.006689	12548.000000	0.747657
2.865905	1.000000	0.010246	13422.000000	0.416883
2.726184	1.000000	0.010359	14954.000000	0.704935
3.310020	1.000000	0.012461	13918.000000	3.051048
4.714147	1.000000	0.014223	12993.000000	2.007092
2.074143	1.000000	0.008200	12471.000000	2.271599
3.804036	1.000000	0.010354	13451.000000	0.232279
2.978426	1.000000	0.008057	13139.000000	6.774814
4.381291	1.000000	0.012021	13701.000000	6.017914
2.064849	1.000000	0.006925	12543.000000	5.098027
2.962168	1.000000	0.010341	15256.000000	1.416637
4.426601	1.000000	0.008089	11363.000000	0.566301
2.868977	1.000000	0.012352	13909.000000	5.973132
2.725655	1.000000	0.010496	11430.000000	0.805124
2.233968	1.000000	0.016194	13886.000000	0.324391
3.490108	1.000000	0.005794	13617.000000	0.666083
2.603608	1.000000	0.012656	11553.000000	2.202101
4.016192	1.000000	0.008652	11744.000000	0.939904
3.603103	1.000000	0.008169	11805.000000	0.554313
2.427537	1.000000	0.009657	13406.000000	0.369784
3.480634	1.000000	0.011546	11816.000000	2.919233
2.516198	1.000000	0.007840	12651.000000	0.780932
3.900394	1.000000	0.017077	16248.000000	0.566373
2.340900	1.000000	0.007524	13065.000000	3.702119
5.580506	1.000000	0.012410	13454.000000	0.905621
2.130726	1.000000	0.013404	13900.000000	5.452955
2.920659	1.000000	0.009731	14257.000000	1.144587
1.984009	1.000000	0.007844	13172.000000	1.355575
3.226606	1.000000	0.008260	14752.000000	0.573518
3.413800	1.000000	0.010363	14484.000000	0.870760
3.688078	1.000000	0.007160	14328.000000	0.605602
2.977493	1.000000	0.009471	11488.000000	0.758030
3.074211	1.000000	0.009348	14031.000000	0.947474
2.801238	1.000000	0.009451	13047.000000	0.613144
3.068233	1.000000	0.012025	13121.000000	3.458239
3.235092	1.000000	0.011439	13114.000000	2.557599
3.146927	1.000000	0.009564	11647.000000	3.642313
3.005362	1.000000	0.013884	16198.000000	0.419883
3.087061	1.000000	0.009601	12581.000000	0.375878
2.414607	1.000000	0.009014	12499.000000	0.845551
2.552566	1.000000	0.007032	13098.000000	0.225068
2.490022	1.000000	0.010453	12866.000000	0.605628
2.627399	1.000000	0.007137	15074.000000	1.942516
3.360686	1.000000	0.006637	12040.000000	0.144737
2.612154	1.000000	0.012590	14098.000000	1.692190
3.436864	1.000000	0.009276	11551.000000	0.939336
2.501516	1.000000	0.006561	16393.000000	2.550282
2.356425	1.000000	0.010677	14945.000000	0.544709
3.683497	1.000000	0.010887	13473.000000	5.998987
2.599766	1.000000	0.012169	12107.000000	1.373168
3.729062	1.000000	0.012586	13929.000000	0.481487
2.289877	1.000000	0.007968	12549.000000	0.057858
2.247070	1.000000	0.011358	14550.000000	0.361480
2.773974	1.000000	0.008295	12013.000000	2.165495
3.209568	1.000000	0.007934	13786.000000	0.758066
2.070633	1.000000	0.013903	16391.000000	1.444715
2.420795	1.000000	0.007400	15158.000000	5.329186
2.810622	1.000000	0.011688	11482.000000	0.121603
2.891119	1.000000	0.013305	16274.000000	5.791261
4.310817	1.000000	0.012282	13536.000000	2.872356
2.189260	1.000000	0.008596	15204.000000	1.578457
2.404590	1.000000	0.007701	13648.000000	0.148912
3.883225	1.000000	0.010421	12350.000000	1.550350
2.132626	1.000000	0.008977	14047.000000	3.045666
2.225270	1.000000	0.007903	13010.000000	0.979906
2.933792	1.000000	0.007950	13527.000000	4.231811
5.314084	1.000000	0.006381	13941.000000	1.963652
2.923388	1.000000	0.009984	13329.000000	7.487158
2.761778	1.000000	0.012929	10358.000000	2.363670
3.857047	1.000000	0.008900	15643.000000	0.575587
2.536839	1.000000	0.010401	11995.000000	3.378271
2.084116	1.000000	0.010152	13483.000000	0.391290
2.327153	1.000000	0.011814	12987.000000	1.192019
3.483377	1.000000	0.009169	13144.000000	0.538762
2.132299	1.000000	0.006568	13978.000000	1.373391
2.181809	1.000000	0.009692	11863.000000	1.838984
3.649576	1.000000	0.007569	14571.000000	8.271500
5.114371	1.000000	0.006040	12584.000000	1.419823
1.878011	1.000000	0.008344	12493.000000	0.774296
3.808201	1.000000	0.011620	12890.000000	0.333565
4.791753	1.000000	0.007408	14011.000000	1.273773
7.115265	1.000000	0.011840	11079.000000	0.806402
2.437668	1.000000	0.007302	15160.000000	2.459266
2.398246	1.000000	0.009866	15720.000000	0.609674
2.627566	1.000000	0.008367	13560.000000	0.337623
1.661169	1.000000	0.012119	12149.000000	0.370984
4.740473	1.000000	0.008424	14927.000000	0.354586
4.069212	1.000000	0.014307	13403.000000	3.540476
2.849797	1.000000	0.011512	13621.000000	0.964801
2.300056	1.000000	0.010681	13842.000000	0.189394
3.871447	1.000000	0.012356	12298.000000	6.747157
1.858054	1.000000	0.008257	11850.000000	0.201668
3.255557	1.000000	0.008860	12516.000000	0.785346
3.940023	1.000000	0.008632	15124.000000	1.291526
1.794158	1.000000	0.007990	14503.000000	0.599843
4.994605	1.000000	0.012553	12559.000000	1.232971
1.912679	1.000000	0.006545	12224.000000	1.991467
2.383619	1.000000	0.008456	12914.000000	5.091700
2.969342	1.000000	0.012077	12958.000000	1.278123
3.385841	1.000000	0.012424	13701.000000	0.755748
1.887562	1.000000	0.008091	12762.000000	1.520367
2.087786	1.000000	0.008541	16098.000000	2.162790
3.073829	1.000000	0.008673	12501.000000	0.255528
4.019330	1.000000	0.005838	16136.000000	0.640529
2.853255	1.000000	0.010083	15191.000000	3.105002
2.471846	1.000000	0.006839	12395.000000	0.809637
2.355127	1.000000	0.012869	13659.000000	0.374438
2.951168	1.000000	0.011747	14653.000000	0.964315
3.554855	1.000000	0.011900	14497.000000	0.662550
3.400926	1.000000	0.010398	13884.000000	1.418670
1.753801	1.000000	0.010872	14560.000000	4.376671
4.093179	1.000000	0.011079	12044.000000	2.039878
2.971283	1.000000	0.014419	11327.000000	1.940481
2.454815	1.000000	0.011308	13647.000000	2.927303
2.728936	1.000000	0.010346	14072.000000	1.874041
1.924143	1.000000	0.018148	14182.000000	0.245245
3.999742	1.000000	0.017705	14467.000000	1.138524
3.875020	1.000000	0.016333	13044.000000	1.210718
3.471839	1.000000	0.011291	13609.000000	0.206306
3.075365	1.000000	0.009346	13242.000000	1.086963
4.442982	1.000000	0.009603	12870.000000	1.420553
3.738751	1.000000	0.008500	15383.000000	0.694004
3.473802	1.000000	0.010432	13340.000000	3.569296
2.124952	1.000000	0.010520	12971.000000	0.410383
2.792421	1.000000	0.009337	12711.000000	0.509466
2.587562	1.000000	0.006283	12705.000000	3.057370
3.569470	1.000000	0.007506	17269.000000	1.067897
2.024483	1.000000	0.016377	11737.000000	2.552602
3.699308	1.000000	0.013306	15204.000000	0.365149
3.793467	1.000000	0.017309	14681.000000	0.405360
2.541807	1.000000	0.009745	12627.000000	1.451239
2.239533	1.000000	0.011038	11338.000000	0.809031
2.654471	1.000000	0.011561	12642.000000	7.277974
3.690078	1.000000	0.007921	15441.000000	0.505700
3.211218	1.000000	0.011915	14893.000000	0.384097
2.324116	1.000000	0.010796	13632.000000	0.556208
2.377958	1.000000	0.011177	14620.000000	1.069726
2.645652	1.000000	0.006778	12700.000000	3.155732
2.438292	1.000000	0.013895	12200.000000	0.326580
2.421185	1.000000	0.008633	11442.000000	2.024782
2.217256	1.000000	0.016328	14418.000000	2.501623
3.213081	1.000000	0.012085	11578.000000	1.237945
4.175399	1.000000	0.007324	14313.000000	2.638443
4.347264	1.000000	0.009049	15650.000000	2.302429
3.263279	1.000000	0.010109	13849.000000	0.247032
4.357031	1.000000	0.006789	12411.000000	0.715579
3.280274	1.000000	0.008001	14378.000000	1.154618
2.916436	1.000000	0.007776	14475.000000	0.555397
3.610373	1.000000	0.010041	13363.000000	0.547173
3.781045	1.000000	0.012185	12577.000000	0.185893
3.554702	1.000000	0.011203	13554.000000	1.720039
2.042243	1.000000	0.009955	13776.000000	1.562452
1.989742	1.000000	0.011280	13122.000000	0.147109
2.379075	1.000000	0.011776	12757.000000	3.945183
1.861847	1.000000	0.012660	11302.000000	0.391832
2.639469	1.000000	0.008384	11664.000000	2.081727
4.914109	1.000000	0.008558	12302.000000	3.159000
2.758588	1.000000	0.011174	12893.000000	1.338974
2.650518	1.000000	0.009812	13169.000000	2.361968
3.501332	1.000000	0.011684	15511.000000	2.020778
3.866172	1.000000	0.009564	11620.000000	1.805932
3.883423	1.000000	0.009287	12902.000000	1.108955
2.124864	1.000000	0.006289	13149.000000	5.600664
2.912926	1.000000	0.008381	11998.000000	0.926690
3.825533	1.000000	0.006984	12594.000000	1.643304
4.212600	1.000000	0.014766	13422.000000	1.111675
3.693659	1.000000	0.007868	15012.000000	1.845321
3.045838	1.000000	0.010445	15954.000000	0.617767
2.070820	1.000000	0.010564	11319.000000	0.569223
2.130070	1.000000	0.006353	12603.000000	2.533099
3.296106	1.000000	0.015953	15118.000000	1.668882
1.829625	1.000000	0.007191	15385.000000	0.298425
2.992101	1.000000	0.011466	13464.000000	0.649916
2.367967	1.000000	0.008681	12401.000000	1.319720
3.999712	1.000000	0.013719	15503.000000	2.106873
2.412676	1.000000	0.006577	15101.000000	2.105695
3.109055	1.000000	0.011131	10967.000000	0.110186
3.960115	1.000000	0.009203	13063.000000	2.997492
3.558260	1.000000	0.009223	13494.000000	2.982999
2.784248	1.000000	0.013250	13241.000000	2.100652
2.782695	1.000000	0.009823	13681.000000	4.129161
2.596526	1.000000	0.007991	11960.000000	2.425930
3.512534	1.000000	0.011417	15026.000000	1.233497
2.227514	1.000000	0.009462	12807.000000	0.468042
2.752252	1.000000	0.011065	13395.000000	0.398147
1.793005	1.000000	0.010709	13538.000000	0.734467
2.243955	1.000000	0.009106	12543.000000	1.464552
3.370202	1.000000	0.009644	14555.000000	0.411341
2.646491	1.000000	0.010117	11988.000000	0.451066
2.191826	1.000000	0.010045	12865.000000	0.316316
2.244377	1.000000	0.007354	11756.000000	1.010030
4.194830	1.000000	0.013106	15603.000000	0.560597
2.995232	1.000000	0.008300	14457.000000	0.717068
3.192250	1.000000	0.010486	12076.000000	1.181126
2.768765	1.000000	0.008153	11272.000000	0.647894
1.709322	1.000000	0.011940	12919.000000	2.826605
2.926048	1.000000	0.009978	11041.000000	0.218136
3.514624	1.000000	0.012932	12865.000000	1.509230
3.222530	1.000000	0.007810	14089.000000	0.937920
2.375419	1.000000	0.012126	12062.000000	0.938940
4.299041	1.000000	0.009345	12516.000000	0.711936
2.886883	1.000000	0.010635	13735.000000	1.496714
5.115758	1.000000	0.005353	14399.000000	2.375303
2.439573	1.000000	0.009094	11409.000000	0.401650
2.892964	1.000000	0.011307	13132.000000	0.237700
2.958676	1.000000	0.009984	15755.000000	0.288714
3.992346	1.000000	0.008640	13224.000000	0.823876
2.895626	1.000000	0.011395	13229.000000	1.377825
2.492489	1.000000	0.010890	12657.000000	1.701270
2.134478	1.000000	0.008574	12439.000000	1.084329
3.912035	1.000000	0.010446	12919.000000	14.587608
3.662548	1.000000	0.008400	11412.000000	3.580439
2.866618	1.000000	0.010770	14314.000000	3.951810
2.439257	1.000000	0.008455	14996.000000	0.862658
5.980897	1.000000	0.015065	12126.000000	2.216267
3.845419	1.000000	0.013385	13041.000000	0.815751
2.509935	1.000000	0.012835	15124.000000	0.516769
2.302972	1.000000	0.009106	14184.000000	1.225559
3.069103	1.000000	0.007099	13310.000000	3.193809
2.939908	1.000000	0.013753	13708.000000	0.920651
3.300510	1.000000	0.012031	13433.000000	0.538500
3.429491	1.000000	0.010017	15400.000000	1.393142
3.196041	1.000000	0.008848	15704.000000	0.253355
3.066267	1.000000	0.011623	15895.000000	0.361834
2.313722	1.000000	0.009823	15104.000000	0.542091
2.417865	1.000000	0.009122	12642.000000	2.017599
3.215720	1.000000	0.012639	11998.000000	0.761895
2.090467	1.000000	0.011288	10933.000000	1.659849
2.715628	1.000000	0.010066	15061.000000	0.759923
3.220027	1.000000	0.007753	13875.000000	0.190883
2.409381	1.000000	0.009177	13688.000000	0.085379
4.356637	1.000000	0.011233	14295.000000	2.204051
3.335611	1.000000	0.012359	13801.000000	0.292791
2.656092	1.000000	0.007778	13005.000000	0.767384
2.842728	1.000000	0.007901	15464.000000	1.197116
1.936628	1.000000	0.008651	15470.000000	0.745388
3.869985	1.000000	0.011823	13077.000000	1.244370
3.846989	1.000000	0.009289	13024.000000	0.457727
3.764697	1.000000	0.010783	15265.000000	1.287869
2.716355	1.000000	0.009562	13230.000000	0.953884
3.485396	1.000000	0.012267	14657.000000	0.302840
3.242788	1.000000	0.009966	12790.000000	1.344207
3.513791	1.000000	0.007040	16254.000000	2.796272
2.824312	1.000000	0.007048	14776.000000	2.715543
2.538971	1.000000	0.007908	12863.000000	1.561555
3.335696	1.000000	0.010156	11884.000000	7.381862
1.811591	1.000000	0.013435	10845.000000	0.137503
2.648178	1.000000	0.010381	14543.000000	0.101406
2.117952	1.000000	0.005537	13018.000000	0.628886
1.980628	1.000000	0.010846	14986.000000	0.236552
4.779222	1.000000	0.013079	14656.000000	9.722800
4.154606	1.000000	0.008575	12214.000000	0.289118
3.217312	1.000000	0.011838	13535.000000	1.055585
4.322748	1.000000	0.009959	12492.000000	0.624174
2.539533	1.000000	0.008211	12694.000000	6.171677
2.317358	1.000000	0.009751	13156.000000	0.326447
3.593526	1.000000	0.012840	13991.000000	0.951388
3.543832	1.000000	0.008881	11873.000000	0.640569
2.143095	1.000000	0.013359	13383.000000	2.217278
3.420603	1.000000	0.013065	13532.000000	2.400925
2.440893	1.000000	0.011047	12608.000000	0.341397
2.857727	1.000000	0.012730	12395.000000	5.390848
3.122600	1.000000	0.013211	14736.000000	1.433150
1.886432	1.000000	0.008167	14439.000000	0.315135
2.744956	1.000000	0.016873	12871.000000	2.846529
3.103752	1.000000	0.012607	12741.000000	0.950738
3.058166	1.000000	0.013165	15561.000000	1.308703
2.656287	1.000000	0.016149	13791.000000	0.961153
5.512495	1.000000	0.007860	17017.000000	0.802747
2.734068	1.000000	0.009033	10717.000000	3.339585
2.337690	1.000000	0.012236	12765.000000	1.838590
2.084330	1.000000	0.011597	15561.000000	0.075856
2.461788	1.000000	0.010490	13819.000000	5.494353
2.951111	1.000000	0.013696	12240.000000	0.897469
4.173472	1.000000	0.009313	12867.000000	0.449913
2.271627	1.000000	0.011896	14555.000000	0.602939
2.815936	1.000000	0.008347	11967.000000	2.008887
3.110371	1.000000	0.006270	14134.000000	1.150841
3.025335	1.000000	0.006760	14473.000000	2.362749
3.877737	1.000000	0.011230	10892.000000	0.112219
3.165061	1.000000	0.010884	12881.000000	0.586628
