transmission	recovery	sampling	population_size	k
1.796119	0.231882	0.010800	19464.000000	2.793506
2.505328	0.699882	0.008943	11174.000000	2.321655
1.922470	0.364559	0.011482	11176.000000	0.442169
2.977510	0.199692	0.010853	22655.000000	1.335150
2.327886	0.210194	0.014405	20677.000000	0.418146
2.384002	0.638112	0.008673	35197.000000	0.216130
2.304804	0.415432	0.007963	35188.000000	3.213683
2.164230	0.683676	0.007298	32830.000000	1.758256
2.304384	0.055643	0.009975	11984.000000	0.219072
2.226355	0.050897	0.008964	47677.000000	0.430193
2.335547	0.265431	0.012972	10482.000000	1.859798
2.875246	0.149191	0.011166	12213.000000	2.378721
2.112228	0.200011	0.012761	19571.000000	0.293258
1.937043	0.724367	0.008261	23268.000000	1.686802
2.217637	0.086356	0.010069	18117.000000	0.741282
1.204990	0.161365	0.007135	22835.000000	0.517317
2.022807	0.726112	0.014469	24684.000000	0.268745
1.606027	0.161349	0.008005	17151.000000	0.245584
1.510509	0.494080	0.007126	20272.000000	0.642846
2.377681	0.529257	0.008043	23255.000000	2.073689
1.949606	0.744205	0.013115	20291.000000	0.698180
1.214321	0.196617	0.011577	20432.000000	4.042837
1.224884	0.107464	0.010435	30952.000000	0.735016
2.107960	0.472315	0.009647	20824.000000	0.621837
1.668173	0.228745	0.010725	35092.000000	0.654985
1.621669	0.335443	0.008352	19325.000000	0.212276
2.669574	0.778509	0.007944	10700.000000	0.945010
2.271377	0.476670	0.011278	22481.000000	0.827962
2.505439	0.568078	0.008415	7765.000000	1.411577
2.737061	0.166179	0.010398	34666.000000	0.594914
1.800640	0.394771	0.009207	10108.000000	2.223056
3.017784	0.016816	0.009048	20590.000000	0.324985
1.924017	0.321255	0.014166	27375.000000	0.412822
1.898659	0.259467	0.008047	28027.000000	0.300288
2.689636	0.073834	0.008152	17599.000000	0.254748
1.312052	0.229039	0.010923	32935.000000	0.191408
3.216311	0.721003	0.009559	16860.000000	0.135413
2.133027	0.790533	0.007291	52847.000000	0.461684
1.377664	0.093447	0.012315	42561.000000	1.851524
1.734391	0.069332	0.007691	13952.000000	2.585772
1.966457	0.642705	0.009736	21397.000000	1.496033
1.342532	0.214342	0.011701	33636.000000	0.393782
1.801942	0.103696	0.009925	33595.000000	0.341084
1.775709	0.286894	0.017681	6262.000000	4.521728
1.962043	0.602328	0.013105	7067.000000	3.236099
2.260811	0.367881	0.007928	20572.000000	0.570777
2.226615	0.578791	0.011648	22896.000000	0.988643
1.946918	0.688962	0.007605	11186.000000	0.457465
1.959285	0.162789	0.012751	20997.000000	0.493595
1.919634	0.387944	0.007486	12688.000000	0.391086
1.423771	0.072180	0.009896	44474.000000	1.261504
2.970031	0.055848	0.013100	41230.000000	0.528634
1.781582	0.071016	0.007378	26674.000000	0.449243
1.720768	0.042644	0.006602	13423.000000	1.283931
2.304735	0.415196	0.008481	43256.000000	0.601198
2.375769	0.710799	0.007335	19084.000000	1.304242
1.190935	0.512620	0.010119	39396.000000	0.167519
2.490624	0.082059	0.009158	17067.000000	0.689173
2.146325	0.710516	0.015292	10539.000000	10.795012
1.480398	0.112502	0.011681	23385.000000	0.317060
1.742519	0.756560	0.006736	12156.000000	0.582822
1.727083	0.359627	0.009611	13426.000000	0.330792
2.629383	0.074850	0.007626	28972.000000	0.866015
2.423903	0.203682	0.013496	22409.000000	1.409692
1.523078	0.718228	0.016880	24460.000000	2.283095
1.976341	0.104148	0.015789	30399.000000	0.978309
2.245873	0.098050	0.009114	27750.000000	1.018607
1.193605	0.023707	0.011629	16445.000000	0.103650
1.807407	0.135312	0.011957	30874.000000	0.937400
1.712598	0.228646	0.007416	32007.000000	1.283820
3.038499	0.450389	0.011547	34410.000000	7.846049
1.622636	0.337732	0.010472	26495.000000	1.795601
1.443180	0.696717	0.012749	25850.000000	2.310572
1.128012	0.406228	0.007955	27466.000000	0.991905
2.200660	0.331175	0.009915	29038.000000	0.468177
2.219370	0.248348	0.006843	9731.000000	1.151288
1.723536	0.470631	0.009450	15458.000000	3.839904
2.530188	0.545115	0.008617	10979.000000	3.056236
2.523174	0.421861	0.010611	40262.000000	0.747862
3.308111	0.560843	0.007418	16603.000000	2.253643
1.202500	0.266746	0.006858	14699.000000	0.727420
2.081250	0.778700	0.010889	41816.000000	1.241893
1.701873	0.256718	0.011310	30436.000000	0.159966
1.664669	0.779915	0.008665	19566.000000	1.461638
1.348020	0.191377	0.009694	15972.000000	1.904649
2.105243	0.744383	0.009573	21039.000000	0.516307
2.732394	0.476081	0.012107	10363.000000	2.826803
1.608265	0.671920	0.009057	29743.000000	1.378612
2.628162	0.379816	0.008557	21102.000000	0.728966
2.291386	0.678628	0.008278	14348.000000	3.533112
1.909987	0.267650	0.010660	13124.000000	1.717792
2.997994	0.001590	0.009516	17436.000000	2.381511
2.018826	0.399567	0.012838	17669.000000	1.812305
2.556763	0.109086	0.008953	15814.000000	1.944736
2.353510	0.204193	0.007689	18570.000000	0.281970
1.933991	0.441175	0.008391	16849.000000	0.346356
1.694955	0.140743	0.009375	13417.000000	2.112984
1.122259	0.019653	0.008409	38444.000000	6.848129
1.569484	0.044813	0.012426	8087.000000	0.466450
2.274303	0.265171	0.010262	11606.000000	0.696711
2.178032	0.194330	0.009267	14085.000000	5.785703
2.248008	0.178692	0.011413	27037.000000	14.017145
2.227389	0.662957	0.011171	38956.000000	1.232368
2.594447	0.198441	0.009536	3270.000000	0.907519
1.508136	0.765946	0.010265	11934.000000	0.416521
2.439381	0.627657	0.008587	22869.000000	2.066453
1.832027	0.338250	0.010238	23918.000000	1.019572
1.487880	0.251102	0.008359	8650.000000	2.372633
2.047042	0.274400	0.009250	12094.000000	1.980503
1.697136	0.512605	0.008432	19017.000000	4.541848
2.010396	0.795261	0.010966	23169.000000	0.382992
1.954387	0.544219	0.014708	14708.000000	2.214845
2.096935	0.449108	0.008523	14363.000000	2.303031
2.657023	0.285431	0.007308	15589.000000	0.635289
1.974326	0.742420	0.008960	14670.000000	1.250536
1.867547	0.228804	0.008083	44936.000000	2.270924
1.880946	0.660079	0.012777	32079.000000	1.173073
1.261706	0.445349	0.011172	13837.000000	3.877905
2.461984	0.771317	0.008693	13799.000000	0.358446
1.928518	0.204181	0.011298	21112.000000	3.344279
2.537705	0.640253	0.009719	12641.000000	3.541164
1.821919	0.462406	0.008090	26322.000000	6.746531
3.393397	0.283318	0.010152	21514.000000	5.348290
2.532788	0.426367	0.008847	38025.000000	0.783794
2.070426	0.529100	0.015178	29130.000000	0.766968
2.793918	0.537638	0.008416	24546.000000	0.458682
1.641721	0.655988	0.013503	30767.000000	3.033444
2.238654	0.009124	0.007125	18126.000000	6.049814
2.350006	0.277182	0.013345	8367.000000	0.660968
1.859105	0.107292	0.009253	12146.000000	2.828607
3.038010	0.548604	0.012958	47431.000000	8.086587
2.255973	0.504394	0.013091	29381.000000	0.582462
1.567602	0.778745	0.008196	13268.000000	1.529205
1.735276	0.611918	0.009532	40895.000000	1.273157
1.431363	0.511676	0.007777	18631.000000	0.988502
2.741317	0.231357	0.009948	34177.000000	0.750473
2.341780	0.279693	0.009482	32973.000000	0.065827
1.300301	0.482281	0.018750	30677.000000	1.660260
1.870828	0.272201	0.011360	16832.000000	1.471518
1.916713	0.415590	0.009993	24186.000000	0.432056
2.862073	0.237159	0.008130	48777.000000	1.180793
1.516963	0.091844	0.008494	38406.000000	1.713739
2.230183	0.193943	0.008685	25711.000000	1.250980
1.793420	0.045835	0.014013	16961.000000	1.300568
1.582955	0.214292	0.007894	31363.000000	1.774112
2.607597	0.125471	0.007987	17343.000000	14.055835
1.702583	0.217940	0.007352	13985.000000	1.766992
2.121559	0.551966	0.011448	22624.000000	1.901715
2.831727	0.373135	0.009843	34011.000000	0.505945
1.882605	0.004768	0.006714	22444.000000	0.783052
2.092099	0.556689	0.008864	84698.000000	1.763509
1.595712	0.021513	0.012084	7834.000000	4.240021
4.071768	0.761785	0.010187	15036.000000	0.501925
2.047932	0.753224	0.008594	29319.000000	1.012637
2.351340	0.463433	0.010845	13305.000000	0.393784
2.170032	0.467730	0.006472	27688.000000	2.989850
1.582935	0.358716	0.012232	34904.000000	2.574444
1.710011	0.414845	0.009299	20101.000000	1.102273
2.760498	0.457876	0.007974	26041.000000	0.341355
1.832598	0.694143	0.011033	34201.000000	1.506071
1.989179	0.510221	0.010900	9102.000000	0.724690
1.382762	0.663115	0.008200	15614.000000	2.271599
3.747670	0.065228	0.008496	20193.000000	0.415921
1.611493	0.615407	0.009592	57332.000000	4.549078
1.897382	0.054857	0.011085	32948.000000	0.325474
1.708179	0.726204	0.015026	21474.000000	1.143597
1.036221	0.216187	0.015191	22935.000000	0.573790
1.734969	0.770443	0.009563	33608.000000	1.496432
1.719477	0.409636	0.014645	57844.000000	1.115550
1.489312	0.582003	0.016194	26720.000000	0.324391
2.196754	0.573014	0.008593	31769.000000	2.380891
2.531187	0.224973	0.006954	32686.000000	3.211981
1.645643	0.110163	0.011297	12647.000000	4.115426
1.467858	0.411052	0.008629	14422.000000	0.869806
1.998090	0.051677	0.009956	34051.000000	2.492044
2.614250	0.321881	0.008387	13538.000000	0.579968
1.774381	0.635494	0.012462	19856.000000	0.294782
1.560600	0.794784	0.007524	19701.000000	3.702119
1.574006	0.473791	0.008483	16965.000000	1.446734
2.680774	0.365231	0.011042	51435.000000	0.898335
1.842427	0.512672	0.009401	25114.000000	2.759175
1.930364	0.671374	0.010790	25480.000000	0.465474
2.243374	0.556781	0.010260	10524.000000	1.514852
1.931989	0.246399	0.012294	11293.000000	2.012710
1.843799	0.109266	0.006351	25264.000000	1.985699
2.049474	0.313572	0.009348	28145.000000	0.947474
2.253358	0.434994	0.012359	27004.000000	0.379018
2.404947	0.563747	0.009559	40961.000000	1.352264
2.318155	0.335246	0.011941	13703.000000	2.673811
1.419425	0.778376	0.013815	22105.000000	3.715334
2.652849	0.530197	0.006181	15327.000000	0.491406
1.566000	0.346707	0.008049	17897.000000	0.513727
2.821787	0.280085	0.007876	10182.000000	1.005666
1.660015	0.238314	0.010453	18246.000000	0.605628
1.563545	0.266209	0.010747	13680.000000	0.054876
1.327354	0.657244	0.007711	8380.000000	0.574791
1.750312	0.700641	0.005911	20095.000000	0.837833
1.390155	0.783713	0.009845	15315.000000	0.185284
1.428874	0.631491	0.009472	44162.000000	1.713730
1.718190	0.770721	0.012278	26105.000000	1.088448
3.432435	0.091589	0.010106	21822.000000	0.693847
2.486042	0.111976	0.012586	27139.000000	0.481487
2.605241	0.517322	0.007898	30386.000000	3.040661
2.271619	0.181794	0.012378	13243.000000	0.731012
1.574096	0.012050	0.009989	18265.000000	0.111117
2.163458	0.783655	0.009331	10493.000000	3.736353
1.972608	0.590202	0.008212	15549.000000	1.877399
3.038752	0.014047	0.009369	30089.000000	0.219827
1.230218	0.306154	0.009970	17433.000000	2.193262
2.873878	0.083040	0.012282	23516.000000	2.872356
1.482162	0.150906	0.012329	38841.000000	0.642924
1.540199	0.452440	0.010548	8500.000000	2.807278
2.005361	0.791135	0.011041	38353.000000	2.105180
2.267234	0.316426	0.013211	12119.000000	0.390123
1.677576	0.722373	0.007298	22351.000000	0.238395
2.868544	0.600080	0.017714	8967.000000	1.531288
1.603970	0.581746	0.005869	19399.000000	0.418065
1.841185	0.674072	0.012929	6172.000000	2.363670
1.645664	0.624226	0.008891	20917.000000	0.752238
2.080253	0.419273	0.007638	40485.000000	0.232918
1.125091	0.094228	0.014199	25150.000000	0.418254
1.863244	0.348188	0.010449	29696.000000	0.706758
1.921314	0.144978	0.009565	19350.000000	0.159051
2.165103	0.583047	0.007273	20689.000000	0.304807
1.645922	0.603504	0.007306	8634.000000	0.550205
3.409580	0.024394	0.006040	16335.000000	1.419823
1.782054	0.161683	0.012420	15332.000000	2.862611
2.324018	0.092074	0.009145	12721.000000	6.508674
2.737753	0.534349	0.011688	24419.000000	2.298481
1.252666	0.717485	0.009476	14543.000000	0.284343
1.767510	0.559891	0.009950	22662.000000	0.525994
1.767276	0.111023	0.008759	15419.000000	1.160129
4.118437	0.098987	0.011817	16930.000000	0.586772
3.160315	0.710915	0.008424	38351.000000	0.354586
1.281662	0.288602	0.013890	27758.000000	2.171723
2.302369	0.483087	0.010496	21635.000000	0.345516
1.861830	0.615363	0.009724	15419.000000	0.060171
1.626094	0.092171	0.016117	8449.000000	0.464778
2.142226	0.059673	0.007492	19754.000000	0.610664
1.882761	0.480765	0.013133	16414.000000	3.456671
2.425616	0.526166	0.007439	37219.000000	0.922607
3.329737	0.028717	0.012553	16172.000000	1.232971
1.560609	0.703913	0.008668	10434.000000	4.126107
1.691183	0.619852	0.009186	49702.000000	0.959746
2.255228	0.009918	0.006892	31778.000000	5.751943
2.130009	0.258970	0.009324	8720.000000	0.428640
2.864770	0.788661	0.008907	32053.000000	3.342378
2.425401	0.068974	0.010246	16567.000000	0.514799
2.350695	0.142178	0.009536	22832.000000	0.407099
1.902170	0.175433	0.010083	41863.000000	3.105002
2.778056	0.008581	0.010280	22961.000000	0.334623
2.573720	0.592144	0.010570	13478.000000	0.936463
1.440018	0.489968	0.011853	44769.000000	0.330871
2.453056	0.519867	0.009022	28307.000000	1.168889
1.984419	0.000414	0.009498	51501.000000	0.240578
2.892784	0.609634	0.013644	27037.000000	0.354690
2.647124	0.644292	0.015596	56242.000000	1.480249
1.636543	0.281934	0.011308	24502.000000	2.927303
2.694931	0.130115	0.006792	33855.000000	3.170094
3.629693	0.791073	0.011611	10908.000000	3.159677
1.949302	0.467249	0.010617	44361.000000	0.468785
1.883824	0.458597	0.010490	29500.000000	1.625031
2.052884	0.410227	0.011473	15862.000000	0.667703
2.042131	0.509778	0.014810	20311.000000	0.688462
1.808795	0.507162	0.009299	23183.000000	0.555130
2.315868	0.067102	0.010432	21862.000000	3.569296
2.585285	0.316225	0.011203	11243.000000	0.272893
1.867386	0.025200	0.008830	15722.000000	0.553449
1.777733	0.128358	0.009463	12453.000000	0.306840
3.799191	0.078163	0.010166	10031.000000	7.194206
1.430312	0.014927	0.008120	40689.000000	3.415555
1.554704	0.146615	0.012645	65993.000000	2.568784
1.928609	0.482487	0.012158	61228.000000	0.348911
1.493022	0.249804	0.011038	9699.000000	0.809031
2.428925	0.543756	0.007381	16486.000000	0.956693
1.584145	0.606603	0.014361	15664.000000	1.312787
1.869969	0.358225	0.013215	18870.000000	1.816416
2.103387	0.653063	0.008636	13839.000000	1.560908
1.869358	0.264400	0.012514	17995.000000	0.225818
2.665662	0.105243	0.008128	42527.000000	0.403329
2.430294	0.632312	0.007241	19864.000000	1.384574
1.478171	0.486511	0.016328	32245.000000	2.501623
1.866380	0.065146	0.012703	15364.000000	0.489979
1.464708	0.275782	0.011880	35778.000000	4.409396
1.721117	0.076600	0.011307	29655.000000	0.720668
2.188070	0.184607	0.007050	46460.000000	0.212472
2.655275	0.700992	0.012986	24560.000000	1.076411
2.073192	0.222594	0.009721	13319.000000	2.229302
1.353107	0.100391	0.006043	77171.000000	2.570592
2.520697	0.601052	0.012185	16285.000000	0.185893
1.679708	0.794617	0.008287	33398.000000	1.303912
1.991015	0.548055	0.010797	27533.000000	0.193510
2.482081	0.765471	0.007805	13904.000000	11.807122
1.782022	0.037783	0.014093	8484.000000	2.568925
1.557837	0.345287	0.011988	16485.000000	0.978653
2.402348	0.699985	0.016380	16132.000000	0.438483
1.141129	0.430638	0.008637	28958.000000	0.514480
1.767012	0.585403	0.009812	20499.000000	2.361968
2.013212	0.056917	0.012421	26778.000000	0.199932
1.912790	0.306909	0.007056	29600.000000	2.807849
1.498487	0.502677	0.015303	33801.000000	0.523824
1.922156	0.112880	0.015384	20766.000000	0.493474
2.023186	0.430268	0.009380	20171.000000	8.277814
2.264433	0.433725	0.014042	48024.000000	1.047820
2.074326	0.263781	0.006317	20460.000000	0.339625
2.030559	0.055265	0.010445	53492.000000	0.617767
1.918445	0.582941	0.009565	27144.000000	0.981440
1.270625	0.775309	0.008644	35057.000000	1.457201
1.541572	0.699809	0.008274	18941.000000	0.098855
2.846319	0.424834	0.007391	21911.000000	1.728618
1.509292	0.113525	0.013139	24978.000000	1.318482
2.143633	0.617541	0.013332	41455.000000	4.428320
2.099757	0.239875	0.006533	19971.000000	1.438375
2.072703	0.693311	0.011131	8212.000000	0.110186
2.461350	0.519956	0.006506	44253.000000	0.288836
1.844671	0.695874	0.010253	38043.000000	0.741902
1.522629	0.351171	0.008043	10684.000000	2.896831
2.122537	0.107345	0.014255	16500.000000	0.407719
1.930086	0.773574	0.008614	21831.000000	4.725223
2.107728	0.179094	0.007425	19718.000000	0.655554
2.164752	0.757500	0.009378	24380.000000	0.319668
1.195336	0.098177	0.010709	23535.000000	0.734467
2.362614	0.101549	0.014609	17476.000000	2.210230
1.928863	0.414866	0.012389	14127.000000	0.605615
2.067771	0.671119	0.007948	15512.000000	0.635078
1.820035	0.080334	0.007499	12328.000000	0.292530
2.250655	0.061936	0.011825	13118.000000	0.359791
1.730584	0.295779	0.009984	15175.000000	2.202246
2.213090	0.761550	0.009312	15812.000000	4.455522
1.845843	0.009778	0.008153	9419.000000	0.647894
1.443389	0.009602	0.010611	14401.000000	0.240919
1.995627	0.678489	0.006208	10287.000000	1.883780
2.152956	0.047699	0.007631	22068.000000	1.001305
2.284371	0.122719	0.009841	13810.000000	2.162000
1.522972	0.358020	0.012988	64173.000000	0.265721
1.837132	0.525301	0.009623	24912.000000	1.319257
2.080573	0.764907	0.009910	13759.000000	0.273954
1.626382	0.353782	0.009094	10004.000000	0.401650
3.195807	0.086899	0.012168	7636.000000	1.194517
1.996885	0.223458	0.015103	11835.000000	3.136373
1.470137	0.671152	0.011242	13692.000000	0.873954
1.951617	0.235677	0.010834	15204.000000	1.406161
2.315482	0.571441	0.012930	30016.000000	0.336836
2.040893	0.797057	0.013040	24034.000000	0.714944
1.876392	0.126772	0.006710	31446.000000	3.397567
1.911078	0.163142	0.010770	31100.000000	3.951810
3.239602	0.319387	0.011677	21519.000000	0.185363
3.013060	0.702592	0.007849	32791.000000	2.699540
2.005606	0.714615	0.006436	19337.000000	1.428643
2.727198	0.580186	0.008479	12980.000000	0.687629
1.964932	0.608631	0.010993	45216.000000	0.360407
2.673667	0.373644	0.009800	41663.000000	1.293193
2.091343	0.533105	0.008962	37998.000000	0.609332
2.286327	0.479955	0.010017	44824.000000	1.393142
1.498952	0.313362	0.008615	20905.000000	3.799118
2.324688	0.377239	0.015441	13250.000000	0.353802
2.513809	0.640815	0.012498	14750.000000	1.793030
1.742096	0.112939	0.011918	25308.000000	2.552060
3.093619	0.011131	0.014131	24670.000000	0.541111
2.270111	0.313469	0.009052	22317.000000	3.315241
1.853670	0.289769	0.008822	25804.000000	1.368284
1.606254	0.745757	0.009177	24873.000000	0.085379
2.340460	0.413839	0.011093	24076.000000	0.821680
2.471864	0.125920	0.010847	11919.000000	0.614451
1.461371	0.165337	0.009558	34493.000000	0.481160
2.882754	0.743019	0.010460	9179.000000	0.560023
2.198151	0.748395	0.014184	25242.000000	0.313460
2.112357	0.173807	0.012823	19007.000000	0.775407
2.641228	0.542614	0.008670	8431.000000	2.232446
1.810903	0.580565	0.009562	20978.000000	0.953884
1.817211	0.347774	0.008433	20078.000000	0.446775
1.993178	0.064124	0.008967	25537.000000	1.881997
1.856661	0.356444	0.011509	6200.000000	0.301893
2.573126	0.281940	0.012837	15777.000000	0.390991
1.513804	0.299012	0.008931	28074.000000	0.791269
3.296640	0.018897	0.006039	39758.000000	0.124305
2.387417	0.140793	0.008685	34949.000000	1.449951
1.411968	0.038702	0.005537	19347.000000	0.628886
2.133944	0.306535	0.008709	25328.000000	1.215010
2.615878	0.215465	0.012606	68682.000000	3.678192
2.110015	0.052934	0.010669	11117.000000	0.505012
2.066424	0.200829	0.010136	45732.000000	0.983588
1.925300	0.150420	0.009262	62976.000000	0.491387
3.152324	0.105173	0.007725	20942.000000	0.857605
1.446979	0.419961	0.005838	15544.000000	2.109786
2.362554	0.071393	0.008881	12209.000000	0.640569
1.906154	0.764170	0.009941	19318.000000	0.263802
2.612994	0.523886	0.010326	34130.000000	0.438238
3.608579	0.410044	0.010623	37047.000000	1.617637
1.658114	0.669289	0.015238	23864.000000	3.046040
2.212305	0.005371	0.012398	39224.000000	1.212289
1.498491	0.681794	0.009150	62710.000000	0.689138
1.580327	0.267758	0.014399	33719.000000	3.235473
2.038778	0.250579	0.013165	47229.000000	1.308703
1.629959	0.335182	0.010531	11392.000000	0.131292
1.572081	0.273685	0.018311	19735.000000	0.689846
1.815015	0.648737	0.009845	4385.000000	0.518219
1.784670	0.749094	0.011645	10633.000000	1.808799
2.652028	0.137791	0.011919	12762.000000	1.938451
3.062028	0.365542	0.009837	41317.000000	0.416615
1.834482	0.278137	0.012818	21083.000000	0.708629
1.514418	0.320024	0.011896	33806.000000	0.602939
2.468354	0.650494	0.010474	16606.000000	0.325600
1.253965	0.046921	0.011512	23629.000000	1.034210
1.820339	0.674576	0.012923	47208.000000	0.556219
1.200451	0.286000	0.005788	24517.000000	1.403514
1.396722	0.130431	0.012050	31219.000000	2.329541
2.357647	0.237943	0.010562	43155.000000	0.884522
2.384820	0.020461	0.012483	15352.000000	0.151399
1.497098	0.271854	0.009388	21001.000000	0.438893
2.047768	0.285936	0.009789	93798.000000	0.924226
1.615511	0.496342	0.011611	49466.000000	0.849384
1.959733	0.725846	0.011677	43656.000000	2.297448
2.379724	0.288791	0.008546	6560.000000	0.760306
2.049570	0.245472	0.017624	15905.000000	0.376870
2.029703	0.608199	0.011961	21874.000000	1.833970
1.934321	0.673834	0.006657	33883.000000	2.785605
1.915304	0.121732	0.007661	37066.000000	0.495625
2.119142	0.649262	0.010189	49098.000000	1.897486
2.032546	0.787475	0.008306	22672.000000	5.663798
1.917182	0.568185	0.010333	32546.000000	0.559273
1.544301	0.416283	0.006729	30915.000000	0.283940
2.432199	0.710113	0.013792	30869.000000	0.980771
1.904804	0.128471	0.009246	21650.000000	3.210834
1.773337	0.668338	0.007678	27336.000000	0.554331
2.434135	0.230278	0.006499	19352.000000	3.263186
2.008645	0.255228	0.011433	21830.000000	0.634041
2.132092	0.535052	0.010720	24687.000000	1.129141
3.866697	0.524059	0.008751	40360.000000	2.051237
2.188259	0.627840	0.010322	14570.000000	0.769505
1.592969	0.568802	0.009865	19728.000000	0.244224
1.777854	0.624340	0.013451	26895.000000	1.154573
1.588217	0.004439	0.007115	10485.000000	1.012802
1.750770	0.733313	0.011437	44564.000000	0.427921
1.469611	0.798249	0.008788	16541.000000	1.032644
1.368065	0.039949	0.010233	17118.000000	1.215849
2.334948	0.734863	0.012790	19016.000000	3.380904
1.721866	0.314394	0.008235	11073.000000	0.841402
1.988260	0.627350	0.007050	30044.000000	0.188280
2.063142	0.296563	0.009547	14431.000000	0.682140
2.497295	0.732618	0.014208	17011.000000	3.748486
2.315120	0.500989	0.011349	15963.000000	0.556935
2.411249	0.750449	0.008682	29755.000000	1.700117
1.254579	0.388456	0.011401	11928.000000	1.638388
1.897554	0.575727	0.011825	45797.000000	4.758647
2.464317	0.695212	0.014103	12700.000000	0.593535
2.679105	0.419003	0.011791	44680.000000	0.712815
2.195332	0.342133	0.010870	28455.000000	1.267912
1.967433	0.182497	0.011111	43352.000000	1.002227
1.662443	0.743982	0.007998	35512.000000	1.661033
1.864671	0.365754	0.006795	28656.000000	1.205221
1.803646	0.682899	0.006597	51349.000000	0.606250
1.416166	0.690719	0.008271	16716.000000	0.409528
1.878733	0.374867	0.008000	10270.000000	0.880740
1.847645	0.303191	0.010813	20372.000000	4.148666
1.888815	0.004215	0.016401	33917.000000	1.602097
2.445320	0.045573	0.010164	20669.000000	0.515932
1.685111	0.579887	0.006819	40508.000000	2.628742
2.972504	0.277150	0.009597	24801.000000	0.591612
1.919899	0.460323	0.008378	38335.000000	1.103339
1.478360	0.358582	0.005652	32493.000000	0.400783
1.637882	0.683517	0.008957	30479.000000	0.385545
2.338158	0.620145	0.021409	16040.000000	0.305107
2.321699	0.248531	0.009243	16360.000000	0.642278
1.849854	0.734926	0.012188	28551.000000	4.282803
1.349508	0.601921	0.012129	9065.000000	0.545959
